,Total_GDP,Agriculture_Share,Industry_Share,Services_Share
2015_Q1,16463.34,21.124814284343273,24.519325969092538,54.35592048758028
2015_Q2,17976.23,26.793827181783946,23.50542911389096,49.7007437043251
2015_Q3,18533.75,24.178916840898363,21.51658460915897,54.304552505564175
2015_Q4,15943.71,20.539322403631278,24.094392083147525,55.36634823388032
2016_Q1,16218.54,22.415889469705657,23.09973647442988,54.48437405586446
2016_Q2,17555.44,28.680967267126317,21.02191685312359,50.297115879750095
2016_Q3,18213.54,25.596396966213046,19.98337500562768,54.420228028159265
2016_Q4,15797.97,21.430601526651845,22.898258447129603,55.67114002621856
2017_Q1,16334.72,22.92717597852917,23.4332758688242,53.63954815264664
2017_Q2,17760.23,29.21904727585172,22.387266381122316,48.39368634302596
2017_Q3,18598.07,26.128732712587915,20.52379628638886,53.34747100102323
2017_Q4,16096.65,21.66481845601414,23.952685807295307,54.38249573669056
2018_Q1,16580.51,22.856474258029458,23.177393216493343,53.96613252547721
2018_Q2,18081.34,29.247500461802055,21.96551804235748,48.786981495840465
2018_Q3,19041.44,26.147077111815076,20.23617961666765,53.61674327151729
2018_Q4,16434.55,21.892415673078972,23.558904868098,54.54874030624508
2019_Q1,16931.43,22.78431296116158,23.342505624155784,53.87324047643938
2019_Q2,18494.11,29.2470413553288,22.16511094613366,48.587901769806706
2019_Q3,19527.72,26.085892259823467,20.27420507872911,53.639902661447415
2019_Q4,16741.81,21.963873679130273,23.64839882903939,54.387727491830326
2020_Q1,15897.93,24.6489322823789,21.8650478395615,53.48608277933039
2020_Q2,17824.48,30.76701255801011,21.589634031399513,47.643353410590386
2020_Q3,19550.15,26.947568177226263,18.773359795193382,54.27907202758034
2020_Q4,16826.89,22.35041650596159,23.749605542081753,53.89997795195667
2021_Q1,16694.67,23.77824778806649,20.56554576999725,55.65620644193628
2021_Q2,18543.05,29.935420548399534,20.41492634706804,49.64970703309326
2021_Q3,20329.06,26.84285451467013,18.0458909560993,55.11130371989654
2021_Q4,17349.38,22.36235531183247,21.466357875612847,56.17128681255469
2022_Q1,17285.88,23.241049920513156,19.404913142981435,57.354036936505395
2022_Q2,18959.95,29.669698496040336,18.369141268832458,51.9611602351272
2022_Q3,21044.25,26.461147344286445,17.2693728690735,56.269479786640055
2022_Q4,17750.06,21.66105354010071,21.04770350072056,57.29129929701645
2023_Q1,17719.34,23.012821019293042,18.562485961666745,58.424693019040205
2023_Q2,19442.28,29.308651042984675,17.995265987322476,52.69608296969286
2023_Q3,21773.26,26.11303957239293,17.336172901990793,56.55083345351133
2023_Q4,18278.21,21.073671874871774,20.88700151710698,58.03932660802125
2024_Q1,18285.02,22.614850845118024,18.622839898452394,58.76230925642958
2024_Q2,20115.77,28.651103089764895,17.77143007699929,53.57746683323582
2024_Q3,22610.39,25.587661247771493,17.028808437183084,57.38353031504543
